SourceDataset,GroupID,EventLabel,EventCategory,WindowIndex,PeakDynamicAccel_mps2,HarshPredicted_6mps2,duracao_evento_simulada_s,velocidade_inicial_simulada_kmh,delta_v_simulado_kmh,velocidade_final_simulada_kmh
jair_jr_driverBehaviorDataset_2016,DRIVER3,Aggressive braking,BRAKING,8,8.627206933574005,1,1.8870255573784025,21.500645313360017,58.6071359008067,0.0
jair_jr_driverBehaviorDataset_2016,DRIVER3,Aggressive braking,BRAKING,9,6.685281816204055,1,1.2675498412275028,33.39264428892936,30.506140456886026,2.886503832043335
jair_jr_driverBehaviorDataset_2016,DRIVER3,Aggressive braking,BRAKING,10,5.264399861301655,0,2.052001064078821,60.601969245374676,38.88919482165862,21.712774423716056
jair_jr_driverBehaviorDataset_2016,DRIVER3,Aggressive braking,BRAKING,11,7.171456590917909,1,2.3167052650982374,25.21632995776497,59.81094447337071,0.0
jair_jr_driverBehaviorDataset_2016,DRIVER3,Aggressive braking,BRAKING,12,5.637855575607739,0,1.5172670934649597,21.78783316628422,30.79487787327926,0.0
jair_jr_driverBehaviorDataset_2016,DRIVER3,Aggressive braking,BRAKING,13,6.9924407137184055,1,1.1716845571661256,50.32131728620175,29.49456528418873,20.826752002013016
jair_jr_driverBehaviorDataset_2016,DRIVER3,Aggressive acceleration,ACCELERATION,14,4.441742578042262,0,1.0530719393677272,7.95350602746594,16.838908094992224,24.792414122458162
jair_jr_driverBehaviorDataset_2016,DRIVER3,Aggressive acceleration,ACCELERATION,15,5.543544162450294,0,2.2997688755590464,21.797659224128665,45.895933170324824,67.69359239445349
jair_jr_driverBehaviorDataset_2016,DRIVER3,Aggressive acceleration,ACCELERATION,16,4.993555345254176,0,1.4408812440813934,23.57062735503635,25.902432857732865,49.47306021276921
jair_jr_driverBehaviorDataset_2016,DRIVER3,Aggressive acceleration,ACCELERATION,17,10.380742004300648,1,2.618860913355653,0.2599503871224407,97.86859015209188,98.12854053921433
jair_jr_driverBehaviorDataset_2016,DRIVER3,Aggressive acceleration,ACCELERATION,18,6.05583009021924,1,2.611638503665616,27.925575799529074,56.9363005269842,84.86187632651327
jair_jr_driverBehaviorDataset_2016,DRIVER3,Aggressive acceleration,ACCELERATION,19,6.727325072690797,1,1.6805010330359837,6.219179992471262,40.69899624321273,46.918176235683994
