trajeto_id,motorista,estilo,via,duracao_min,pico_ms2,eventos,eventos_min
20151110175712-16km-D1-NORMAL1-SECONDARY,D1,normal,secundaria,10.4,2.3103976229796164,0,0.0
20151110180824-16km-D1-NORMAL2-SECONDARY,D1,normal,secundaria,10.9565,2.1220693299745323,0,0.0
20151111123124-25km-D1-NORMAL-MOTORWAY,D1,normal,rodovia,14.584666666666665,3.6985114493071034,0,0.0
20151111125233-24km-D1-AGGRESSIVE-MOTORWAY,D1,agressiva,rodovia,12.297166666666667,3.6990314618862907,0,0.0
20151111132348-25km-D1-DROWSY-MOTORWAY,D1,sonolenta,rodovia,15.8195,4.276104242531088,0,0.0
20151111134545-16km-D1-AGGRESSIVE-SECONDARY,D1,agressiva,secundaria,8.927166666666666,3.044802955701567,0,0.0
20151111135612-13km-D1-DROWSY-SECONDARY,D1,sonolenta,secundaria,8.434999999999999,5.613182887711441,0,0.0
20151120131714-26km-D2-NORMAL-MOTORWAY,D2,normal,rodovia,15.549166666666666,2.197827577115122,0,0.0
20151120133502-26km-D2-AGGRESSIVE-MOTORWAY,D2,agressiva,rodovia,14.624166666666667,2.3875517490526703,0,0.0
20151120135152-25km-D2-DROWSY-MOTORWAY,D2,sonolenta,rodovia,15.850833333333334,4.355256812463417,0,0.0
20151120160904-16km-D2-NORMAL1-SECONDARY,D2,normal,secundaria,10.911333333333333,1.0900831470365964,0,0.0
20151120162105-17km-D2-NORMAL2-SECONDARY,D2,normal,secundaria,11.542333333333335,1.6329765502668676,0,0.0
20151120163350-16km-D2-AGGRESSIVE-SECONDARY,D2,agressiva,secundaria,10.363999999999999,2.445181544816831,0,0.0
20151120164606-16km-D2-DROWSY-SECONDARY,D2,sonolenta,secundaria,10.947666666666667,3.905017388419223,0,0.0
20151126110502-26km-D3-NORMAL-MOTORWAY,D3,normal,rodovia,15.2635,2.075607068309253,0,0.0
20151126113754-26km-D3-DROWSY-MOTORWAY,D3,sonolenta,rodovia,17.15066666666667,3.527396250877841,0,0.0
20151126124208-16km-D3-NORMAL1-SECONDARY,D3,normal,secundaria,11.759666666666668,1.247913070576209,0,0.0
20151126125458-16km-D3-NORMAL2-SECONDARY,D3,normal,secundaria,11.234833333333333,1.5231909005005946,0,0.0
20151126130707-16km-D3-AGGRESSIVE-SECONDARY,D3,agressiva,secundaria,11.3855,1.6810611947154577,0,0.0
20151126132013-17km-D3-DROWSY-SECONDARY,D3,sonolenta,secundaria,11.105166666666666,3.5508334547667624,0,0.0
20151126134736-26km-D3-AGGRESSIVE-MOTORWAY,D3,agressiva,rodovia,14.023833333333332,5.57963914163738,0,0.0
20151203171800-16km-D4-NORMAL1-SECONDARY,D4,normal,secundaria,12.235999999999999,1.4386392316534478,0,0.0
20151203173103-17km-D4-NORMAL2-SECONDARY,D4,normal,secundaria,11.622333333333334,1.3532466354529928,0,0.0
20151203174324-16km-D4-AGGRESSIVE-SECONDARY,D4,agressiva,secundaria,11.121500000000001,2.2137195551437703,0,0.0
20151203175637-17km-D4-DROWSY-SECONDARY,D4,sonolenta,secundaria,11.554666666666668,3.1259687138677155,0,0.0
20151204152848-25km-D4-NORMAL-MOTORWAY,D4,normal,rodovia,16.778666666666666,1.626869737928462,0,0.0
20151204154908-25km-D4-AGGRESSIVE-MOTORWAY,D4,agressiva,rodovia,15.552999999999999,2.9647888825237625,0,0.0
20151204160823-25km-D4-DROWSY-MOTORWAY,D4,sonolenta,rodovia,17.19516666666667,2.4899043794699147,0,0.0
20151209151242-25km-D5-NORMAL-MOTORWAY,D5,normal,rodovia,15.448166666666667,4.21436148527811,0,0.0
20151209153137-25km-D5-AGGRESSIVE-MOTORWAY,D5,agressiva,rodovia,13.406166666666667,4.824283763810552,0,0.0
20151211160213-25km-D5-DROWSY-MOTORWAY,D5,sonolenta,rodovia,18.18866666666667,6.054143141324596,2,0.10995858226734595
20151211162829-16km-D5-NORMAL1-SECONDARY,D5,normal,secundaria,11.769333333333332,1.374646092486318,0,0.0
20151211164124-17km-D5-NORMAL2-SECONDARY,D5,normal,secundaria,11.652,1.876173873422169,0,0.0
20151211165606-12km-D5-AGGRESSIVE-SECONDARY,D5,agressiva,secundaria,7.1308333333333325,5.6238294861125855,0,0.0
20151211170502-16km-D5-DROWSY-SECONDARY,D5,sonolenta,secundaria,11.788833333333335,2.6328618069997143,0,0.0
20151217162714-26km-D6-NORMAL-MOTORWAY,D6,normal,rodovia,17.158166666666666,1.99074995,0,0.0
20151217164730-25km-D6-DROWSY-MOTORWAY,D6,sonolenta,rodovia,17.830500000000004,2.1399404630790038,0,0.0
20151221112434-17km-D6-NORMAL-SECONDARY,D6,normal,secundaria,13.081999999999999,1.6580200339562132,0,0.0
20151221113846-16km-D6-DROWSY-SECONDARY,D6,sonolenta,secundaria,12.134833333333335,2.0630590622992795,0,0.0
20151221120051-26km-D6-AGGRESSIVE-MOTORWAY,D6,agressiva,rodovia,15.259166666666667,3.034837342756416,0,0.0
